TrdDt,ClPr
2015/9/30,229.93
2015/10/8,234.1
2015/10/9,234.51
2015/10/12,237.26
2015/10/13,236.1
2015/10/14,239.3
2015/10/15,241.38
2015/10/16,240.37
2015/10/19,239.69
2015/10/20,239.85
2015/10/21,239.92
2015/10/22,238.55
2015/10/23,240.11
2015/10/26,238.1
2015/10/27,238.27
2015/10/28,239.79
2015/10/29,237.41
2015/10/30,233.43
2015/11/2,233.18
2015/11/3,231.96
2015/11/4,228.7
2015/11/5,226.98
2015/11/6,227.36
2015/11/9,224.16
2015/11/10,224.22
2015/11/11,224.25
2015/11/12,223.49
2015/11/13,222.5
2015/11/16,225.58
2015/11/17,222.44
2015/11/18,220.71
2015/11/19,221.5
2015/11/20,223.23
2015/11/23,220.91
2015/11/24,221.27
2015/11/25,222.62
2015/11/26,221.43
2015/11/27,220.12
2015/11/30,217.77
2015/12/1,221.47
2015/12/2,220.37
2015/12/3,217.55
2015/12/4,219.16
2015/12/7,224.43
2015/12/8,222.48
2015/12/9,223.19
2015/12/10,222.8
2015/12/11,222.94
2015/12/14,223.2
2015/12/15,221.61
2015/12/16,222.15
2015/12/17,223
2015/12/18,222.36
2015/12/21,223.78
2015/12/22,225.1
2015/12/23,224.5
2015/12/24,224.48
2015/12/25,224.96
2015/12/28,224.75
2015/12/29,226.79
2015/12/30,224.44
2015/12/31,224.6
2016/1/4,224.79
2016/1/5,226.68
2016/1/6,228.12
2016/1/7,233.48
2016/1/8,233.52
2016/1/11,234.82
2016/1/12,232.46
2016/1/13,229.69
2016/1/14,230.8
2016/1/15,231.27
2016/1/18,231.45
2016/1/19,231.28
2016/1/20,232.19
2016/1/21,233.97
2016/1/22,232.79
2016/1/25,233.56
2016/1/26,236.57
2016/1/27,237.03
2016/1/28,236.75
2016/1/29,235.48
2016/2/1,237.94
2016/2/2,238.44
2016/2/3,239.04
2016/2/4,241.79
2016/2/5,243.76
2016/2/15,253.81
2016/2/16,251.2
2016/2/17,253.31
2016/2/18,252.52
2016/2/19,256.76
2016/2/22,254.7
2016/2/23,256.24
2016/2/24,256.5
2016/2/25,260
2016/2/26,259.86
2016/2/29,258.86
2016/3/1,261.6
2016/3/2,258.69
2016/3/3,261.04
2016/3/4,264.49
2016/3/7,264.82
2016/3/8,265.88
2016/3/9,263.53
2016/3/10,261.38
2016/3/11,264.54
2016/3/14,261.96
2016/3/15,257.36
2016/3/16,259.14
2016/3/17,263.46
2016/3/18,262.79
2016/3/21,259.55
2016/3/22,261.66
2016/3/23,258.12
2016/3/24,255
2016/3/25,255.94
2016/3/28,255.13
2016/3/29,255.19
2016/3/30,257.9
2016/3/31,256.24
2016/4/1,256.7
2016/4/5,255.5
2016/4/6,255.76
2016/4/7,255.7
2016/4/8,257.1
2016/4/11,260.66
2016/4/12,261.49
2016/4/13,259.98
2016/4/14,257.48
2016/4/15,256.81
2016/4/18,257.61
2016/4/19,259.52
2016/4/20,259.88
2016/4/21,262.83
2016/4/22,260.28
2016/4/25,258.36
2016/4/26,258.08
2016/4/27,260.6
2016/4/28,261.87
2016/4/29,265.5
2016/5/3,270.5
2016/5/4,268.53
2016/5/5,267.58
2016/5/6,268
2016/5/9,267.82
2016/5/10,265.72
2016/5/11,266.77
2016/5/12,266.3
2016/5/13,266.85
2016/5/16,269.49
2016/5/17,267.57
2016/5/18,267.71
2016/5/19,264
2016/5/20,264
2016/5/23,263.76
2016/5/24,262.02
2016/5/25,258.42
2016/5/26,259.5
2016/5/27,257.96
2016/5/30,254.75
2016/5/31,257.14
2016/6/1,258.1
2016/6/2,258
2016/6/3,257.35
2016/6/6,262.27
2016/6/7,262.85
2016/6/8,264.83
2016/6/13,271.9
2016/6/14,271
2016/6/15,272.55
2016/6/16,277.39
2016/6/17,272.08
2016/6/20,272.22
2016/6/21,271.6
2016/6/22,268.1
2016/6/23,268.69
2016/6/24,280.91
2016/6/27,282.6
2016/6/28,281.6
2016/6/29,282.5
2016/6/30,281.33
2016/7/1,285.3
2016/7/4,289.56
2016/7/5,288.45
2016/7/6,294.28
2016/7/7,293.9
2016/7/8,291.45
2016/7/11,293.05
2016/7/12,292.14
2016/7/13,288.9
2016/7/14,286.5
2016/7/15,286.8
2016/7/18,286.01
2016/7/19,286.76
2016/7/20,285.8
2016/7/21,282.94
2016/7/22,284.36
2016/7/25,282.9
2016/7/26,283.8
2016/7/27,283.45
2016/7/28,287.56
2016/7/29,285.35
2016/8/1,287.7
2016/8/2,289.93
2016/8/3,290.57
2016/8/4,288.3
2016/8/5,291.78
2016/8/8,286.29
2016/8/9,285.58
2016/8/10,289.17
2016/8/11,287.44
2016/8/12,286.2
2016/8/15,287.1
2016/8/16,287.89
2016/8/17,286.57
2016/8/18,288.35
2016/8/19,288.4
2016/8/22,286.29
2016/8/23,287.5
2016/8/24,286.72
2016/8/25,284.4
2016/8/26,284.49
2016/8/29,283.5
2016/8/30,283.61
2016/8/31,282.8
2016/9/1,280.41
2016/9/2,282.13
2016/9/5,285.36
2016/9/6,285.96
2016/9/7,289.24
2016/9/8,289.1
2016/9/9,287.36
2016/9/12,286.23
2016/9/13,285.94
2016/9/14,284.53
2016/9/19,283.31
2016/9/20,283.35
2016/9/21,284.27
2016/9/22,286.51
2016/9/23,286.73
2016/9/26,287.1
2016/9/27,286.64
2016/9/28,284.48
2016/9/29,283.84
2016/9/30,284.23
2016/10/10,273.1
2016/10/11,272.83
2016/10/12,272.35
2016/10/13,273.2
2016/10/14,272.7
2016/10/17,272.82
2016/10/18,274.34
2016/10/19,274.09
2016/10/20,276.16
2016/10/21,275.35
2016/10/24,276.45
2016/10/25,276.94
2016/10/26,278.43
2016/10/27,277.31
2016/10/28,277.11
2016/10/31,278.76
2016/11/1,279.89
2016/11/2,282.07
2016/11/3,283.42
2016/11/4,282.45
2016/11/7,281.3
2016/11/8,280.82
2016/11/9,287.87
2016/11/10,282.63
2016/11/11,278.51
2016/11/14,270.5
2016/11/15,273.32
2016/11/16,273.87
2016/11/17,273.08
2016/11/18,270.58
2016/11/21,272.5
2016/11/22,272.94
2016/11/23,272.59
2016/11/24,270.13
2016/11/25,269.07
2016/11/28,270.57
2016/11/29,268.1
2016/11/30,267.5
2016/12/1,265.4
2016/12/2,264.99
2016/12/5,265.01
2016/12/6,264.67
2016/12/7,264.75
2016/12/8,266.2
2016/12/9,265.69
2016/12/12,264.48
2016/12/13,265.09
2016/12/14,265.94
2016/12/15,262.1
2016/12/16,261.97
2016/12/19,262.8
2016/12/20,261.77
2016/12/21,260.85
2016/12/22,259.4
2016/12/23,259.98
2016/12/26,260.85
2016/12/27,261.22
2016/12/28,261.54
2016/12/29,262.73
2016/12/30,264.5
2017/1/3,264.08
2017/1/4,264.53
2017/1/5,264.66
2017/1/6,265
2017/1/9,265.5
2017/1/10,268.24
2017/1/11,268.64
2017/1/12,269.38
2017/1/13,268.73
2017/1/16,270.5
2017/1/17,272
2017/1/18,270.9
2017/1/19,268.11
2017/1/20,269.08
2017/1/23,270.06
2017/1/24,269.7
2017/1/25,267.75
2017/1/26,266.21
2017/2/3,269.2
2017/2/6,271.84
2017/2/7,274.3
2017/2/8,274.3
2017/2/9,276.08
2017/2/10,272.88
2017/2/13,274.39
2017/2/14,273.36
2017/2/15,272.95
2017/2/16,274.67
2017/2/17,275.9
2017/2/20,275.28
2017/2/21,275.49
2017/2/22,275.54
2017/2/23,275.99
2017/2/24,279.58
2017/2/27,280.33
2017/2/28,279.72
2017/3/1,277.68
2017/3/2,278.06
2017/3/3,275.92
2017/3/6,276.41
2017/3/7,275.27
2017/3/8,273.7
2017/3/9,271.62
2017/3/10,270.04
2017/3/13,272.98
2017/3/14,271.3
2017/3/15,271.47
2017/3/16,275.7
2017/3/17,275.56
2017/3/20,276.93
2017/3/21,275.82
2017/3/22,278.6
2017/3/23,278.26
2017/3/24,277.81
2017/3/27,280.5
2017/3/28,280.19
2017/3/29,279.63
2017/3/30,279.1
2017/3/31,277.87
2017/4/5,280.13
2017/4/6,280.32
2017/4/7,282.87
2017/4/10,281.27
2017/4/11,281.5
2017/4/12,284.53
2017/4/13,286.25
2017/4/14,286.44
2017/4/17,286.61
2017/4/18,285.84
2017/4/19,285.65
2017/4/20,285.47
2017/4/21,285.23
2017/4/24,283.29
2017/4/25,283.32
2017/4/26,281.8
2017/4/27,282.35
2017/4/28,282.9
2017/5/2,280.78
2017/5/3,280.11
2017/5/4,275.9
2017/5/5,275.49
2017/5/8,275.29
2017/5/9,274.75
2017/5/10,273.68
2017/5/11,273.86
2017/5/12,274.92
2017/5/15,275.9
2017/5/16,276.54
2017/5/17,277.61
2017/5/18,279.3
