Date,Close,High,Low,Open,Volume
2014/1/2,3563.570068,3577.030029,3553.649902,3575.600098,1738820000
2014/1/3,3538.72998,3567.51001,3537.610107,3564.939941,1667480000
2014/1/6,3526.959961,3542.52002,3512.449951,3539.02002,2292840000
2014/1/7,3557.850098,3562.98999,3535.5,3539.290039,2278220000
2014/1/8,3567.540039,3575.149902,3551.120117,3558.300049,2345220000
2014/1/9,3552.580078,3579.399902,3541.810059,3576.330078,2214770000
2014/1/10,3565.080078,3568.469971,3536.449951,3565.679932,2143070000
2014/1/13,3512.800049,3572.399902,3499.370117,3559.389893,2322240000
2014/1/14,3580.649902,3581.600098,3525.469971,3526.199951,2034180000
2014/1/15,3609.840088,3615.699951,3592.620117,3593.810059,2101870000
2014/1/16,3611.290039,3614.659912,3599.870117,3605.429932,2005850000
2014/1/17,3591.25,3608.719971,3580.389893,3597.409912,2150370000
2014/1/21,3617.699951,3617.699951,3586.050049,3611.629883,2034030000
2014/1/22,3627.719971,3634.649902,3615.47998,3623.310059,2026910000
2014/1/23,3613.76001,3613.879883,3588.830078,3612.530029,2191980000
2014/1/24,3541.47998,3601,3541.379883,3596.929932,2489470000
2014/1/27,3509.02002,3548.47998,3482.889893,3543.5,2398280000
2014/1/28,3505.719971,3509.800049,3483.709961,3484.389893,2091180000
2014/1/29,3467.820068,3500.820068,3461.639893,3472.419922,2231850000
2014/1/30,3532.409912,3544.209961,3508.01001,3514.25,2168410000
2014/1/31,3521.919922,3539.439941,3488.040039,3488.370117,2300570000
2014/2/3,3440.5,3533.47998,3433.639893,3524.22998,2617030000
2014/2/4,3470.199951,3480.73999,3449.189941,3460.129883,2173360000
2014/2/5,3454.899902,3469.350098,3418.879883,3457.040039,2168360000
2014/2/6,3497.600098,3502.52002,3465.419922,3465.830078,1942700000
2014/2/7,3561.909912,3563.139893,3508.830078,3522.330078,2055850000
2014/2/10,3582.110107,3582.840088,3557.780029,3558.590088,1811970000
2014/2/11,3621.719971,3628.590088,3585.080078,3587.580078,1993950000
2014/2/12,3627.360107,3635.919922,3618.060059,3626.139893,2035890000
2014/2/13,3659.560059,3659.560059,3600.860107,3601.75,2249990000
2014/2/14,3663.879883,3671.040039,3643.790039,3652.879883,1881510000
2014/2/18,3679.429932,3685.179932,3658.639893,3668.98999,1886210000
2014/2/19,3652.850098,3679.689941,3646.129883,3668.719971,1956720000
2014/2/20,3671.929932,3676.889893,3640.629883,3654.850098,1992780000
2014/2/21,3662.600098,3687.159912,3661.459961,3683.419922,2138250000
2014/2/24,3685.810059,3701.27002,3668.340088,3670.070068,2161300000
2014/2/25,3679.139893,3697.600098,3669.530029,3689.679932,2137150000
2014/2/26,3676.600098,3702.090088,3663.75,3691.840088,2108270000
2014/2/27,3699.800049,3704.649902,3672.639893,3678.310059,2049160000
2014/2/28,3696.100098,3722.379883,3664.830078,3703.47998,2617730000
2014/3/3,3668.370117,3678.379883,3637.669922,3657.320068,2077500000
2014/3/4,3719.929932,3723,3706.820068,3710.189941,2477850000
2014/3/5,3727.189941,3732.97998,3715.379883,3721.530029,2215980000
2014/3/6,3720.929932,3738.320068,3709.409912,3735.850098,2136260000
2014/3/7,3703.399902,3737.360107,3686.939941,3736.929932,2175560000
2014/3/10,3706.340088,3709.780029,3683.969971,3702.139893,2111610000
2014/3/11,3691.5,3725.709961,3681.370117,3715.889893,2477780000
2014/3/12,3707.060059,3707.199951,3661.870117,3678.360107,2131880000
2014/3/13,3651.48999,3720.620117,3636.790039,3719.360107,2383600000
2014/3/14,3627.870117,3656.939941,3626.860107,3643.209961,2196890000
2014/3/17,3662.51001,3678.320068,3651.139893,3653.189941,1810410000
2014/3/18,3706.620117,3708.26001,3664.790039,3667.399902,1962890000
2014/3/19,3682.73999,3709.01001,3661.060059,3705.51001,1992750000
2014/3/20,3693.969971,3705.310059,3665.830078,3675.620117,1847270000
2014/3/21,3653.070068,3717.360107,3643.350098,3711.469971,3245740000
2014/3/24,3617.389893,3665.580078,3585.149902,3665.379883,2434650000
2014/3/25,3629.72998,3659.590088,3600.649902,3640.26001,2270760000
2014/3/26,3582.889893,3654.689941,3582.840088,3645.72998,2455460000
2014/3/27,3563.129883,3594.080078,3543.070068,3578.540039,2270650000
2014/3/28,3571.48999,3609.080078,3560.580078,3576.179932,2029840000
2014/3/31,3595.73999,3618.419922,3593.699951,3598.080078,2090850000
2014/4/1,3658.399902,3659.159912,3614.159912,3615.909912,2153130000
2014/4/2,3665.98999,3676.360107,3649.790039,3670.330078,2187100000
2014/4/3,3637.580078,3675.699951,3617.409912,3670.429932,2067370000
2014/4/4,3539.379883,3663.780029,3532.280029,3659.919922,2621270000
2014/4/7,3507.75,3551.209961,3482.75,3522.209961,2554680000
2014/4/8,3538.22998,3543.97998,3499,3511.820068,2198900000
2014/4/9,3600.439941,3602.350098,3544.090088,3552.070068,1957560000
2014/4/10,3487.76001,3599.639893,3479.149902,3597.580078,2421210000
2014/4/11,3446.850098,3502.330078,3440.550049,3453.23999,2264480000
2014/4/14,3474.629883,3493.169922,3443.26001,3479.659912,1890480000
2014/4/15,3487.850098,3505.669922,3414.110107,3484.290039,2413110000
2014/4/16,3533.090088,3533.090088,3489.290039,3517.5,1863110000
2014/4/17,3534.530029,3551.02002,3511.27002,3526.570068,1954720000
2014/4/21,3559.949951,3559.949951,3525.590088,3543.649902,1544440000
2014/4/22,3588.810059,3596.919922,3566.870117,3570.51001,1875930000
2014/4/23,3557.040039,3588.050049,3555.189941,3587.649902,1794760000
